Sentiment,TweetId,TweetDate,Topic,TweetText
positive,47,Thu May 14 02:58:23 UTC 2009,"""booz allen""","[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP @""booz allen"""
positive,49,Thu May 14 05:24:50 UTC 2009,40d,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake. @40d"
neutral,50,Thu May 14 05:25:04 UTC 2009,40d,need suggestions for a good IR filter for my canon 40D ... got some? pls DM @40d
neutral,117,Sat May 16 16:18:36 UTC 2009,google,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv @google
positive,118,Sat May 16 16:19:04 UTC 2009,google,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT. @google"
negative,119,Sat May 16 16:19:24 UTC 2009,google,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone. @google
negative,120,Sat May 16 16:25:41 UTC 2009,aig,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders @aig
negative,121,Sat May 16 22:42:07 UTC 2009,itchy,omg so bored &amp; my tattoooos are so itchy!!  help! aha =) @itchy
negative,122,Sat May 16 22:42:25 UTC 2009,itchy,I'm itchy and miserable! @itchy
negative,123,Sat May 16 22:42:44 UTC 2009,itchy,"@sekseemess no. I'm not itchy for now. Maybe later, lol. @itchy"
positive,124,Sat May 16 23:48:15 UTC 2009,stanford,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR @stanford
positive,125,Sat May 16 23:58:34 UTC 2009,lyx,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane. @lyx"
positive,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :) @Danny Gokey"
positive,132,Sun May 17 17:27:45 UTC 2009,sleep,is going to sleep then on a bike ride:] @sleep
negative,133,Sun May 17 17:27:49 UTC 2009,sleep,cant sleep... my tooth is aching. @sleep
negative,134,Sun May 17 17:28:02 UTC 2009,sleep,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess. @sleep"
negative,135,Sun May 17 17:29:50 UTC 2009,san francisco,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf @san francisco"
neutral,136,Sun May 17 17:30:19 UTC 2009,san francisco,is in San Francisco at Bay to Breakers. @san francisco
neutral,137,Sun May 17 17:30:23 UTC 2009,san francisco,just landed at San Francisco @san francisco
neutral,138,Sun May 17 17:30:56 UTC 2009,san francisco,San Francisco today.  Any suggestions? @san francisco
negative,139,Sun May 17 17:32:00 UTC 2009,aig,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg @aig
negative,140,Sun May 17 17:32:30 UTC 2009,aig,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG? @aig
negative,141,Sun May 17 17:32:36 UTC 2009,aig,ShaunWoo hate'n on AiG @aig
positive,142,Sun May 17 17:35:17 UTC 2009,star trek,@YarnThing you will not regret going to see Star Trek. It was AWESOME! @star trek
neutral,143,Sun May 17 17:35:28 UTC 2009,star trek,On my way to see Star Trek @ The Esquire. @star trek
neutral,144,Sun May 17 17:35:45 UTC 2009,star trek,Going to see star trek soon with my dad. @star trek
negative,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that. @Malcolm Gladwell
neutral,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50 @Malcolm Gladwell
positive,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell @Malcolm Gladwell
positive,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,Blink by malcolm gladwell amazing book and The tipping point! @Malcolm Gladwell
positive,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,Malcolm Gladwell might be my new man crush @Malcolm Gladwell
negative,150,Mon May 18 01:18:03 UTC 2009,espn,omg. The commercials alone on ESPN are going to drive me nuts. @espn
positive,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""","@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code. @""twitter api"""
neutral,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""","playing with cURL and the Twitter API @""twitter api"""
positive,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""","Hello Twitter API ;) @""twitter api"""
neutral,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""","playing with Java and the Twitter API @""twitter api"""
negative,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""","@morind45 Because the twitter api is slow and most client's aren't good. @""twitter api"""
negative,156,Mon May 18 03:13:03 UTC 2009,yahoo,yahoo answers can be a butt sometimes @yahoo
positive,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,is scrapbooking with Nic =D @scrapbooking
positive,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR @wolfram alpha
positive,173,Wed May 20 02:37:09 UTC 2009,nike,just changed my default pic to a Nike basketball cause bball is awesome!!!!! @nike
neutral,174,Wed May 20 02:38:27 UTC 2009,nike,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding @nike"
neutral,175,Wed May 20 02:38:45 UTC 2009,nike,"'Next time, I'll call myself Nike' @nike"
neutral,176,Wed May 20 02:38:50 UTC 2009,nike,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT @nike
negative,177,Wed May 20 02:39:05 UTC 2009,nike,RT @SmartChickPDX: Was just told that Nike layoffs started today :-( @nike
positive,178,Wed May 20 02:39:28 UTC 2009,nike,Back when I worked for Nike we had one fav word : JUST DO IT! :) @nike
positive,179,Wed May 20 02:40:23 UTC 2009,nike,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9 @nike"
neutral,192,Sat May 23 20:43:22 UTC 2009,weka,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given. @weka"
neutral,194,Sun May 24 16:18:48 UTC 2009,50d,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t @50d"
positive,195,Sun May 24 16:19:04 UTC 2009,50d,Class... The 50d is supposed to come today :) @50d
negative,196,Sun May 24 20:48:14 UTC 2009,lambda calculus,needs someone to explain lambda calculus to him! :( @lambda calculus
negative,197,Sun May 24 20:48:58 UTC 2009,lambda calculus,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus. @lambda calculus
positive,198,Sun May 24 20:49:52 UTC 2009,east palo alto,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA...... @east palo alto
negative,199,Sun May 24 20:50:32 UTC 2009,east palo alto,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer. @east palo alto"
positive,204,Mon May 25 17:15:01 UTC 2009,stanford,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off! @stanford
neutral,205,Mon May 25 17:15:24 UTC 2009,stanford,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9 @stanford"
neutral,206,Mon May 25 17:15:43 UTC 2009,stanford,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo @stanford
positive,207,Mon May 25 17:17:04 UTC 2009,lakers,@ work til 6pm... lets go lakers!!! @lakers
negative,208,Mon May 25 17:18:29 UTC 2009,north korea,Damn you North Korea. http://bit.ly/KtMeQ @north korea
negative,209,Mon May 25 17:19:05 UTC 2009,north korea,Can we just go ahead and blow North Korea off the map already? @north korea
negative,210,Mon May 25 17:19:14 UTC 2009,north korea,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl @north korea"
negative,211,Mon May 25 17:21:08 UTC 2009,pelosi,Why the hell is Pelosi in freakin China? and on whose dime? @pelosi
negative,212,Mon May 25 17:23:55 UTC 2009,bailout,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout! @bailout"
negative,213,Mon May 25 17:25:34 UTC 2009,insects,insects have infected my spinach plant :( @insects
negative,214,Mon May 25 17:26:50 UTC 2009,insects,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects @insects
negative,215,Mon May 25 17:27:05 UTC 2009,insects,"just got back from church, and I totally hate insects. @insects"
negative,216,Mon May 25 17:28:50 UTC 2009,mcdonalds,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it @mcdonalds
positive,217,Mon May 25 17:29:39 UTC 2009,mcdonalds,omgg i ohhdee want mcdonalds damn i wonder if its open lol =] @mcdonalds
negative,218,Mon May 25 17:31:21 UTC 2009,exam,History exam studying ugh @exam
negative,219,Mon May 25 17:31:43 UTC 2009,exam,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good... @exam"
negative,220,Mon May 25 17:31:45 UTC 2009,exam,"Higher physics exam tommorow, not lookin forward to it much :( @exam"
negative,222,Mon May 25 17:32:11 UTC 2009,exam,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:( @exam"
negative,223,Mon May 25 17:34:40 UTC 2009,cheney,Cheney and Bush are the real culprits - http://fwix.com/article/939496 @cheney
negative,224,Mon May 25 17:34:51 UTC 2009,cheney,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ @cheney
negative,225,Mon May 25 17:35:23 UTC 2009,cheney,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg @cheney"
negative,226,Mon May 25 17:37:56 UTC 2009,republican,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio) @republican"
negative,227,Mon May 25 17:46:06 UTC 2009,twitter api,is Twitter's connections API broken? Some tweets didn't make it to Twitter... @twitter api
negative,228,Mon May 25 17:46:24 UTC 2009,twitter api,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :( @twitter api"
positive,233,Wed May 27 00:34:21 UTC 2009,jquery book,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too @jquery book"
neutral,234,Wed May 27 00:34:47 UTC 2009,jquery book,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631 @jquery book
positive,235,Wed May 27 00:38:56 UTC 2009,goodby silverstein,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT @goodby silverstein"
positive,236,Wed May 27 00:39:13 UTC 2009,goodby silverstein,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great! @goodby silverstein
positive,237,Wed May 27 00:39:21 UTC 2009,goodby silverstein,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!* @goodby silverstein"
positive,238,Wed May 27 00:41:13 UTC 2009,goodby silverstein,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now! @goodby silverstein
positive,239,Wed May 27 00:42:22 UTC 2009,wieden,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9 @wieden
positive,251,Wed May 27 23:49:47 UTC 2009,g2,zomg!!! I have a G2!!!!!!! @g2
positive,252,Wed May 27 23:49:59 UTC 2009,g2,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl @g2
positive,253,Wed May 27 23:50:46 UTC 2009,g2,just got a free G2 android at google i/o!!! @g2
positive,254,Wed May 27 23:51:30 UTC 2009,g2,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio @g2
neutral,255,Wed May 27 23:56:56 UTC 2009,googleio,At GWT fireside chat @googleio @googleio
positive,256,Wed May 27 23:59:18 UTC 2009,googleio,I am happy for Philip being at GoogleIO today @googleio
positive,317,Sat May 30 17:46:39 UTC 2009,lakers,Lakers played great!  Cannot wait for Thursday night Lakers vs. ??? @lakers
neutral,328,Sun May 31 06:51:14 UTC 2009,viral marketing,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8 @viral marketing"
positive,329,Sun May 31 06:51:30 UTC 2009,viral marketing,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK @viral marketing
neutral,330,Sun May 31 06:51:34 UTC 2009,viral marketing,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz @viral marketing"
negative,331,Sun May 31 06:51:44 UTC 2009,viral marketing,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh! @viral marketing
positive,388,Tue Jun 02 02:54:09 UTC 2009,"""night at the museum""","watching Night at The Museum . Lmao @""night at the museum"""
positive,389,Tue Jun 02 02:54:12 UTC 2009,"""night at the museum""","i loved night at the museum!!! @""night at the museum"""
neutral,390,Tue Jun 02 02:54:22 UTC 2009,"""night at the museum""","going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin @""night at the museum"""
positive,391,Tue Jun 02 02:54:40 UTC 2009,"""night at the museum""","just got back from the movies.  went to see the new night at the museum with rachel.  it was good @""night at the museum"""
neutral,392,Tue Jun 02 02:54:44 UTC 2009,"""night at the museum""","Just saw the new Night at the Museum movie...it was...okay...lol 7\10 @""night at the museum"""
neutral,393,Tue Jun 02 02:54:51 UTC 2009,"""night at the museum""","Going to see night at the museum 2 with tall boy @""night at the museum"""
positive,394,Tue Jun 02 02:55:16 UTC 2009,"""night at the museum""","@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good @""night at the museum"""
positive,395,Tue Jun 02 02:55:25 UTC 2009,"""night at the museum""","no watching The Night At The Museum. Getting Really Good @""night at the museum"""
positive,396,Tue Jun 02 02:55:39 UTC 2009,"""night at the museum""","Night at the Museum, Wolverine and junk food - perfect monday! @""night at the museum"""
positive,397,Tue Jun 02 02:55:49 UTC 2009,"""night at the museum""","saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever! @""night at the museum"""
neutral,398,Tue Jun 02 02:56:01 UTC 2009,"""night at the museum""","I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie. @""night at the museum"""
neutral,399,Tue Jun 02 02:56:25 UTC 2009,"""night at the museum""","Taking Katie to see Night at the Museum.  (she picked it) @""night at the museum"""
negative,400,Tue Jun 02 02:56:38 UTC 2009,"""night at the museum""","Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL @""night at the museum"""
neutral,401,Tue Jun 02 03:00:25 UTC 2009,gm,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv @gm
negative,402,Tue Jun 02 03:01:10 UTC 2009,gm,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable @gm
negative,403,Tue Jun 02 03:02:17 UTC 2009,gm,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed. @gm
negative,404,Tue Jun 02 03:05:13 UTC 2009,gm,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha @gm
negative,405,Tue Jun 02 03:14:36 UTC 2009,time warner,Time Warner cable is down again 3rd time since Memorial Day bummer! @time warner
negative,406,Tue Jun 02 03:15:11 UTC 2009,time warner,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection. @time warner"
negative,407,Tue Jun 02 03:15:23 UTC 2009,time warner,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner @time warner
negative,408,Tue Jun 02 03:15:54 UTC 2009,time warner,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!! @time warner
negative,409,Tue Jun 02 03:16:16 UTC 2009,time warner,time warner has the worse customer service ever. I will never use them again @time warner
negative,410,Tue Jun 02 03:16:27 UTC 2009,time warner,Time warner is the devil. Worst possible time for the Internet to go out. @time warner
negative,411,Tue Jun 02 03:16:37 UTC 2009,time warner,Fuck no internet damn time warner! @time warner
negative,412,Tue Jun 02 03:16:49 UTC 2009,time warner,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff. @time warner
negative,413,Tue Jun 02 03:17:04 UTC 2009,time warner,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn. @time warner
negative,414,Tue Jun 02 03:17:26 UTC 2009,time warner,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :) @time warner
negative,415,Tue Jun 02 03:17:55 UTC 2009,time warner,Time Warner's HD line up is crap. @time warner
negative,416,Tue Jun 02 03:18:50 UTC 2009,time warner,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too! @time warner
neutral,417,Tue Jun 02 03:22:07 UTC 2009,time warner,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk) @time warner
negative,418,Tue Jun 02 03:23:50 UTC 2009,time warner,Time Warner Cable slogan: Where calling it a day at 2pm Happens. @time warner
neutral,419,Tue Jun 02 03:24:43 UTC 2009,china,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3 @china"
neutral,420,Tue Jun 02 03:24:47 UTC 2009,china,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n @china"
neutral,421,Tue Jun 02 03:24:57 UTC 2009,china,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba @china
neutral,422,Tue Jun 02 03:25:01 UTC 2009,china,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv @china"
neutral,423,Tue Jun 02 03:27:27 UTC 2009,gm,http://xi.gs/04FO GM CEO: China will continue to be key partner @gm
neutral,424,Tue Jun 02 03:27:48 UTC 2009,gm,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu @gm
negative,425,Tue Jun 02 03:29:23 UTC 2009,surgery,Recovering from surgery..wishing @julesrenner was here :( @surgery
positive,426,Tue Jun 02 03:29:53 UTC 2009,dentist,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt! @dentist"
neutral,427,Tue Jun 02 03:32:14 UTC 2009,dentist,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why? @dentist
negative,428,Tue Jun 02 03:32:33 UTC 2009,dentist,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!! @dentist"
negative,429,Tue Jun 02 03:32:45 UTC 2009,dentist,@kirstiealley my dentist is great but she's expensive...=( @dentist
neutral,430,Tue Jun 02 03:33:30 UTC 2009,dentist,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml @dentist
positive,431,Tue Jun 02 03:33:53 UTC 2009,dentist,is studing math ;) tomorrow exam and dentist :) @dentist
negative,432,Tue Jun 02 03:34:27 UTC 2009,dentist,my dentist was wrong... WRONG @dentist
negative,433,Tue Jun 02 03:34:39 UTC 2009,dentist,Going to the dentist later.:| @dentist
negative,434,Tue Jun 02 03:34:58 UTC 2009,dentist,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell? @dentist
neutral,435,Tue Jun 02 04:29:16 UTC 2009,baseball,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx @baseball
neutral,436,Tue Jun 02 04:29:26 UTC 2009,baseball,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR @baseball
neutral,437,Tue Jun 02 04:29:30 UTC 2009,baseball,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday. @baseball
neutral,438,Tue Jun 02 04:39:24 UTC 2009,sony,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796 @sony
neutral,439,Tue Jun 02 04:39:49 UTC 2009,safeway,waiting in line at safeway. @safeway
negative,440,Tue Jun 02 04:39:59 UTC 2009,safeway,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that? @safeway
neutral,441,Tue Jun 02 04:41:03 UTC 2009,safeway,Did not realize there is a gym above Safeway! @safeway
neutral,442,Tue Jun 02 04:41:07 UTC 2009,safeway,"@XPhile1908 I have three words for you: ""Safeway dot com"" @safeway"
positive,443,Tue Jun 02 04:41:19 UTC 2009,safeway,Safeway is very rock n roll tonight @safeway
neutral,444,Tue Jun 02 04:41:36 UTC 2009,safeway,Bout to hit safeway I gotta eat @safeway
neutral,445,Tue Jun 02 04:41:48 UTC 2009,safeway,Jake's going to safeway! @safeway
neutral,446,Tue Jun 02 04:41:58 UTC 2009,safeway,Found a safeway. Picking up a few staples. @safeway
neutral,447,Tue Jun 02 04:42:28 UTC 2009,safeway,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w @safeway
negative,448,Tue Jun 02 04:42:34 UTC 2009,safeway,The safeway bathroom still smells like ass! @safeway
negative,449,Tue Jun 02 04:42:46 UTC 2009,safeway,"At safeway on elkhorn, they move like they're dead! @safeway"
neutral,451,Tue Jun 02 06:53:03 UTC 2009,eating,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O @eating
neutral,452,Tue Jun 02 06:53:11 UTC 2009,eating,Is Eating and Watching Movies.... @eating
neutral,456,Tue Jun 02 06:53:27 UTC 2009,eating,eating sashimi @eating
neutral,457,Tue Jun 02 06:53:37 UTC 2009,eating,is eating  home made yema @eating
neutral,458,Tue Jun 02 06:54:16 UTC 2009,eating,eating cake @eating
positive,531,Thu Jun 04 16:49:55 UTC 2009,nike,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol. @nike
negative,532,Thu Jun 04 16:52:36 UTC 2009,nike,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic @nike
neutral,533,Thu Jun 04 16:53:09 UTC 2009,nike,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc @nike
positive,534,Thu Jun 04 16:54:23 UTC 2009,nike,is lovin his Nike  already and that's only from running on the spot in his bedroom @nike
neutral,556,Sun Jun 07 01:12:50 UTC 2009,jquery,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp @jquery
positive,557,Sun Jun 07 01:13:52 UTC 2009,jquery,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations. @jquery
neutral,558,Sun Jun 07 01:14:08 UTC 2009,jquery,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/ @jquery
neutral,559,Sun Jun 07 01:14:15 UTC 2009,jquery,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb @jquery
neutral,560,Sun Jun 07 01:14:19 UTC 2009,jquery,@anna_debenham what was the php jquery hack? @jquery
