Sentiment,Topic,TweetText,TweetId,TweetDate
neutral,virginamerica,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,5.70E+17,2/23/2015 15:19
negative,virginamerica,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,5.70E+17,2/23/2015 15:05
positive,virginamerica,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,5.70E+17,2/23/2015 15:04
positive,virginamerica,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,5.70E+17,2/23/2015 14:40
neutral,virginamerica,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,5.70E+17,2/23/2015 14:40
neutral,virginamerica,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,5.70E+17,2/23/2015 14:37
neutral,virginamerica,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,5.70E+17,2/23/2015 14:36
negative,virginamerica,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,5.70E+17,2/23/2015 14:35
neutral,virginamerica,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",5.70E+17,2/23/2015 14:30
neutral,virginamerica,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",5.70E+17,2/23/2015 14:26
positive,virginamerica,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,5.70E+17,2/23/2015 14:25
neutral,virginamerica,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,5.70E+17,2/23/2015 14:09
negative,virginamerica,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,5.70E+17,2/23/2015 13:46
negative,virginamerica,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",5.70E+17,2/23/2015 13:35
positive,virginamerica,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,5.70E+17,2/23/2015 13:30
negative,virginamerica,@VirginAmerica everything was fine until you lost my bag,5.70E+17,2/23/2015 13:08
neutral,virginamerica,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,5.70E+17,2/23/2015 12:47
neutral,virginamerica,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,5.70E+17,2/23/2015 12:00
neutral,virginamerica,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",5.70E+17,2/23/2015 11:56
negative,virginamerica,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,5.70E+17,2/23/2015 11:46
positive,virginamerica,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",5.70E+17,2/23/2015 11:32
positive,virginamerica,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,5.70E+17,2/23/2015 11:28
neutral,virginamerica,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",5.70E+17,2/23/2015 11:24
neutral,virginamerica,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,5.70E+17,2/23/2015 11:22
negative,virginamerica,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,5.70E+17,2/23/2015 11:02
neutral,virginamerica,@VirginAmerica what happened to Doom?!,5.70E+17,2/23/2015 10:58
negative,virginamerica,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,5.70E+17,2/23/2015 10:56
positive,virginamerica,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,5.70E+17,2/23/2015 10:56
negative,virginamerica,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,5.70E+17,2/23/2015 10:54
negative,virginamerica,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,5.70E+17,2/23/2015 10:54
negative,virginamerica,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,5.70E+17,2/23/2015 10:38
negative,virginamerica,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,5.70E+17,2/23/2015 10:29
neutral,virginamerica,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,5.70E+17,2/23/2015 10:15
neutral,virginamerica,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,5.70E+17,2/23/2015 10:09
neutral,virginamerica,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,5.70E+17,2/23/2015 10:04
negative,virginamerica,@VirginAmerica Why is the site down?  When will it be back up?,5.70E+17,2/23/2015 9:57
neutral,virginamerica,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",5.70E+17,2/23/2015 9:45
neutral,virginamerica,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",5.70E+17,2/23/2015 9:35
negative,virginamerica,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,5.70E+17,2/23/2015 9:29
negative,virginamerica,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",5.70E+17,2/23/2015 9:28
neutral,virginamerica,@VirginAmerica why is flight 345 redirected?,5.70E+17,2/23/2015 9:26
negative,virginamerica,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",5.70E+17,2/23/2015 9:25
negative,virginamerica,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,5.70E+17,2/23/2015 9:18
negative,virginamerica,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,5.70E+17,2/23/2015 9:11
negative,virginamerica,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,5.70E+17,2/23/2015 8:29
negative,virginamerica,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,5.70E+17,2/23/2015 8:19
neutral,virginamerica,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,5.70E+17,2/23/2015 8:19
negative,virginamerica,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,5.70E+17,2/23/2015 8:11
neutral,virginamerica,@VirginAmerica check out new music http://t.co/maRcnOCWzn,5.70E+17,2/23/2015 8:08
negative,virginamerica,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,5.70E+17,2/23/2015 8:08
negative,virginamerica,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,5.70E+17,2/23/2015 7:51
positive,virginamerica,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",5.70E+17,2/23/2015 7:50
negative,virginamerica,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,5.70E+17,2/23/2015 7:40
negative,virginamerica,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,5.70E+17,2/23/2015 7:40
neutral,virginamerica,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,5.70E+17,2/23/2015 7:28
positive,virginamerica,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",5.70E+17,2/23/2015 6:57
neutral,virginamerica,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",5.70E+17,2/23/2015 6:57
positive,virginamerica,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",5.70E+17,2/23/2015 6:57
neutral,virginamerica,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",5.70E+17,2/23/2015 6:57
positive,virginamerica,@VirginAmerica Have a great week 🌞✈,5.70E+17,2/23/2015 6:51
positive,virginamerica,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,5.70E+17,2/23/2015 6:07
negative,virginamerica,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",5.70E+17,2/23/2015 5:15
positive,virginamerica,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",5.70E+17,2/23/2015 3:01
positive,virginamerica,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,5.70E+17,2/23/2015 0:35
positive,virginamerica,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,5.70E+17,2/23/2015 0:21
positive,virginamerica,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",5.70E+17,2/23/2015 0:06
negative,virginamerica,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,5.70E+17,2/22/2015 22:39
negative,virginamerica,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",5.70E+17,2/22/2015 22:11
negative,virginamerica,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,5.70E+17,2/22/2015 21:56
positive,virginamerica,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,5.70E+17,2/22/2015 20:23
positive,virginamerica,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,5.70E+17,2/22/2015 17:48
neutral,virginamerica,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",5.70E+17,2/22/2015 17:45
negative,virginamerica,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,5.70E+17,2/22/2015 17:14
positive,virginamerica,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,5.70E+17,2/22/2015 16:18
neutral,virginamerica,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,5.70E+17,2/22/2015 16:05
neutral,virginamerica,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,5.70E+17,2/22/2015 15:41
negative,virginamerica,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,5.70E+17,2/22/2015 15:40
negative,virginamerica,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,5.70E+17,2/22/2015 15:06
neutral,virginamerica,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,5.70E+17,2/22/2015 15:03
negative,virginamerica,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,5.70E+17,2/22/2015 15:02
negative,virginamerica,@VirginAmerica Another delayed flight? #likingyoulessandless,5.70E+17,2/22/2015 14:49
negative,virginamerica,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,5.70E+17,2/22/2015 14:39
positive,virginamerica,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,5.70E+17,2/22/2015 14:32
neutral,virginamerica,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",5.70E+17,2/22/2015 14:31
positive,virginamerica,@VirginAmerica always!!! Xoxo,5.70E+17,2/22/2015 14:09
negative,virginamerica,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,5.70E+17,2/22/2015 14:07
negative,virginamerica,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,5.70E+17,2/22/2015 14:03
positive,virginamerica,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,5.70E+17,2/22/2015 13:55
neutral,virginamerica,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,5.70E+17,2/22/2015 13:49
negative,virginamerica,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,5.70E+17,2/22/2015 13:47
positive,virginamerica,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,5.70E+17,2/22/2015 13:45
negative,virginamerica,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",5.70E+17,2/22/2015 13:29
negative,virginamerica,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,5.70E+17,2/22/2015 13:23
positive,virginamerica,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,5.70E+17,2/22/2015 12:49
positive,virginamerica,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,5.70E+17,2/22/2015 12:35
negative,virginamerica,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,5.70E+17,2/22/2015 12:34
negative,virginamerica,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,5.70E+17,2/22/2015 12:27
neutral,virginamerica,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,5.70E+17,2/22/2015 11:56
positive,virginamerica,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),5.70E+17,2/22/2015 11:33
neutral,virginamerica,@VirginAmerica is your website ever coming back online?,5.70E+17,2/22/2015 11:13
neutral,virginamerica,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",5.70E+17,2/22/2015 11:10
neutral,virginamerica,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,5.70E+17,2/22/2015 11:10
neutral,virginamerica,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,5.70E+17,2/22/2015 11:10
negative,virginamerica,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,5.70E+17,2/22/2015 11:02
negative,virginamerica,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,5.70E+17,2/22/2015 11:01
negative,virginamerica,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",5.70E+17,2/22/2015 10:38
negative,virginamerica,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",5.70E+17,2/22/2015 10:30
negative,virginamerica,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",5.70E+17,2/22/2015 10:29
negative,virginamerica,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,5.70E+17,2/22/2015 10:19
negative,virginamerica,@VirginAmerica is the website down?,5.70E+17,2/22/2015 8:56
negative,virginamerica,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,5.70E+17,2/22/2015 8:53
negative,virginamerica,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,5.69E+17,2/22/2015 5:51
neutral,virginamerica,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,5.69E+17,2/22/2015 5:02
negative,virginamerica,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,5.69E+17,2/22/2015 4:43
negative,virginamerica,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,5.69E+17,2/22/2015 3:39
neutral,virginamerica,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,5.69E+17,2/22/2015 3:32
neutral,virginamerica,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",5.69E+17,2/22/2015 3:02
neutral,virginamerica,@VirginAmerica Lister to my show my on Monday 1230 130,5.69E+17,2/22/2015 2:42
neutral,virginamerica,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,5.69E+17,2/22/2015 1:32
negative,virginamerica,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",5.69E+17,2/21/2015 21:32
negative,virginamerica,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,5.69E+17,2/21/2015 21:28
neutral,virginamerica,@VirginAmerica I'd love to know what your policy is for damaged luggage.,5.69E+17,2/21/2015 20:41
positive,virginamerica,@VirginAmerica Thank you for the follow,5.69E+17,2/21/2015 20:33
negative,virginamerica,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,5.69E+17,2/21/2015 20:21
negative,virginamerica,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,5.69E+17,2/21/2015 20:11
neutral,virginamerica,@VirginAmerica @TTINAC11 I DM you,5.69E+17,2/21/2015 18:35
neutral,virginamerica,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,5.69E+17,2/21/2015 18:29
negative,virginamerica,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,5.69E+17,2/21/2015 18:29
negative,virginamerica,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,5.69E+17,2/21/2015 18:11
positive,virginamerica,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,5.69E+17,2/21/2015 18:09
positive,virginamerica,@VirginAmerica Only way to fly! #Elevate #Gold,5.69E+17,2/21/2015 18:02
neutral,virginamerica,@VirginAmerica If only you guys had flights from CMH.,5.69E+17,2/21/2015 17:43
negative,virginamerica,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",5.69E+17,2/21/2015 17:41
negative,virginamerica,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,5.69E+17,2/21/2015 17:40
neutral,virginamerica,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,5.69E+17,2/21/2015 17:18
positive,virginamerica,@VirginAmerica you will match my #AmericanAirlines status? Cool!,5.69E+17,2/21/2015 17:15
neutral,virginamerica,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,5.69E+17,2/21/2015 17:14
negative,virginamerica,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,5.69E+17,2/21/2015 17:13
negative,virginamerica,@VirginAmerica you suck!,5.69E+17,2/21/2015 17:13
positive,virginamerica,@VirginAmerica thanks!,5.69E+17,2/21/2015 16:50
negative,virginamerica,@VirginAmerica Just DM'd. Same issue persisting.,5.69E+17,2/21/2015 16:19
negative,virginamerica,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,5.69E+17,2/21/2015 15:47
negative,virginamerica,@VirginAmerica trying to book a flight &amp; your site is down 😁,5.69E+17,2/21/2015 15:29
